RegionID,Hospital,State,Local Hospital Network (LHN),Time period,Year,Category,Number of patient admissions
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,2016–17,2017,Total,2039
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Childbirth,1676
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Childbirth,1745
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Childbirth,1746
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Childbirth,1745
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Childbirth,1722
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Childbirth,1792
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Medical (emergency),6083
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Medical (emergency),6842
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Medical (emergency),6903
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Medical (emergency),7893
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Medical (emergency),10001
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Medical (emergency),10564
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Medical (non-emergency),1063
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Medical (non-emergency),1140
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Medical (non-emergency),1068
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Medical (non-emergency),1192
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Medical (non-emergency),1416
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Medical (non-emergency),1486
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Other acute (emergency),232
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Other acute (emergency),214
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Other acute (emergency),203
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Other acute (emergency),185
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Other acute (emergency),196
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Other acute (emergency),205
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Other acute (non-emergency),1748
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Other acute (non-emergency),1970
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Other acute (non-emergency),1855
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Other acute (non-emergency),1757
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Other acute (non-emergency),1732
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Other acute (non-emergency),1855
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Other subacute and non-acute,13
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Other subacute and non-acute,3
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Other subacute and non-acute,13
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Other subacute and non-acute,29
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Other subacute and non-acute,66
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Other subacute and non-acute,81
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Palliative,450
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Palliative,411
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Palliative,400
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Palliative,36
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Palliative,74
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Palliative,74
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Rehabilitation,88
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Rehabilitation,94
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Rehabilitation,51
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Rehabilitation,110
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Rehabilitation,139
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Rehabilitation,172
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Specialist mental health,0
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Specialist mental health,0
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Specialist mental health,0
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Specialist mental health,0
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Specialist mental health,0
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Specialist mental health,0
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Surgical (emergency),881
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Surgical (emergency),896
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Surgical (emergency),977
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Surgical (emergency),957
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Surgical (emergency),942
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Surgical (emergency),965
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Surgical (non-emergency),2375
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Surgical (non-emergency),2524
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Surgical (non-emergency),2655
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Surgical (non-emergency),2723
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Surgical (non-emergency),2595
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Surgical (non-emergency),2641
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2011–12,2012,Total,14609
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2012–13,2013,Total,15836
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2013–14,2014,Total,15871
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2014–15,2015,Total,16627
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2015–16,2016,Total,18883
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,2016–17,2017,Total,19835
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Childbirth,3
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Childbirth,0
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Childbirth,0
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Childbirth,0
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Childbirth,0
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Childbirth,0
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Medical (emergency),9403
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Medical (emergency),10058
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Medical (emergency),9906
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Medical (emergency),9763
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Medical (emergency),9445
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Medical (emergency),9356
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Medical (non-emergency),20273
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Medical (non-emergency),22251
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Medical (non-emergency),23140
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Medical (non-emergency),24541
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Medical (non-emergency),26274
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Medical (non-emergency),26760
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Other acute (emergency),748
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Other acute (emergency),752
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Other acute (emergency),711
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Other acute (emergency),785
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Other acute (emergency),757
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Other acute (emergency),761
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Other acute (non-emergency),2874
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Other acute (non-emergency),2952
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Other acute (non-emergency),2925
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Other acute (non-emergency),2787
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Other acute (non-emergency),2821
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Other acute (non-emergency),2881
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Other subacute and non-acute,197
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Other subacute and non-acute,152
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Other subacute and non-acute,177
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Other subacute and non-acute,334
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Other subacute and non-acute,420
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Other subacute and non-acute,483
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Palliative,103
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Palliative,93
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Palliative,126
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Palliative,658
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Palliative,719
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Palliative,668
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Rehabilitation,833
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Rehabilitation,802
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Rehabilitation,785
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Rehabilitation,575
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Rehabilitation,730
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Rehabilitation,758
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Specialist mental health,6265
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Specialist mental health,6190
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Specialist mental health,5818
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Specialist mental health,5723
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Specialist mental health,5742
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Specialist mental health,6063
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Surgical (emergency),1782
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Surgical (emergency),1917
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Surgical (emergency),1948
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Surgical (emergency),2149
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Surgical (emergency),2207
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Surgical (emergency),2289
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Surgical (non-emergency),7498
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Surgical (non-emergency),7537
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Surgical (non-emergency),7652
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Surgical (non-emergency),7788
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Surgical (non-emergency),7757
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Surgical (non-emergency),8009
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2011–12,2012,Total,49976
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2012–13,2013,Total,52704
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2013–14,2014,Total,53188
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2014–15,2015,Total,55103
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2015–16,2016,Total,56872
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,2016–17,2017,Total,58028
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Childbirth,5319
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Childbirth,5292
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Childbirth,5060
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Childbirth,4959
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Childbirth,4870
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Childbirth,5062
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Medical (emergency),16380
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Medical (emergency),16626
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Medical (emergency),21876
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Medical (emergency),22137
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Medical (emergency),22214
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Medical (emergency),24340
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Medical (non-emergency),26713
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Medical (non-emergency),27114
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Medical (non-emergency),28455
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Medical (non-emergency),29309
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Medical (non-emergency),28908
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Medical (non-emergency),29456
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Other acute (emergency),856
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Other acute (emergency),983
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Other acute (emergency),1055
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Other acute (emergency),1056
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Other acute (emergency),1080
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Other acute (emergency),1038
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Other acute (non-emergency),2072
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Other acute (non-emergency),2057
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Other acute (non-emergency),2054
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Other acute (non-emergency),2082
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Other acute (non-emergency),2294
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Other acute (non-emergency),2130
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Other subacute and non-acute,42
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Other subacute and non-acute,35
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Other subacute and non-acute,15
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Other subacute and non-acute,63
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Other subacute and non-acute,135
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Other subacute and non-acute,340
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Palliative,35
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Palliative,32
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Palliative,113
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Palliative,303
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Palliative,338
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Palliative,334
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Rehabilitation,79
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Rehabilitation,26
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Rehabilitation,3
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Rehabilitation,5
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Rehabilitation,23
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Rehabilitation,82
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Specialist mental health,684
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Specialist mental health,694
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Specialist mental health,730
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Specialist mental health,1194
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Specialist mental health,1681
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Specialist mental health,1868
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Surgical (emergency),3905
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2012–13,2013,Surgical (emergency),3815
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2013–14,2014,Surgical (emergency),4151
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2014–15,2015,Surgical (emergency),4254
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2015–16,2016,Surgical (emergency),4356
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2016–17,2017,Surgical (emergency),4164
Sydney Inner City 11703,Royal Prince Alfred Hospital,NSW,Sydney,2011–12,2012,Surgical (non-emergency),12198
