RegionID,Hospital,State,Local Hospital Network (LHN),Peer group,Time period,Year,Category,Total number of stays,Number of overnight stays,Percentage of overnight stays,Average length of stay (days),Total overnight patient bed days
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2011–12,2012,Heart failure (without complications),16,16,100%,NA,176
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2012–13,2013,Heart failure (without complications),21,21,100%,NA,110
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2013–14,2014,Heart failure (without complications),3,3,NA,NA,15
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2014–15,2015,Heart failure (without complications),6,6,NA,NA,37
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2015–16,2016,Heart failure (without complications),8,5,NA,NA,25
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2016–17,2017,Heart failure (without complications),3,3,NA,NA,44
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2011–12,2012,Heart failure (with complications),12,12,100%,NA,137
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2012–13,2013,Heart failure (with complications),16,16,100%,NA,166
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2013–14,2014,Heart failure (with complications),9,9,NA,NA,103
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2014–15,2015,Heart failure (with complications),5,5,NA,NA,47
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2015–16,2016,Heart failure (with complications),10,10,100%,NA,66
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2016–17,2017,Heart failure (with complications),5,5,NA,NA,46
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2011–12,2012,Kidney and urinary tract infections (without complications),20,17,85%,NA,102
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2012–13,2013,Kidney and urinary tract infections (without complications),28,22,79%,NA,113
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2013–14,2014,Kidney and urinary tract infections (without complications),14,8,57%,NA,16
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2014–15,2015,Kidney and urinary tract infections (without complications),17,10,59%,NA,46
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2015–16,2016,Kidney and urinary tract infections (without complications),15,14,93%,NA,30
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2016–17,2017,Kidney and urinary tract infections (without complications),15,9,60%,NA,15
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2011–12,2012,Kidney and urinary tract infections (with complications),29,29,100%,NA,241
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2012–13,2013,Kidney and urinary tract infections (with complications),35,35,100%,NA,315
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2013–14,2014,Kidney and urinary tract infections (with complications),7,7,NA,NA,41
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2014–15,2015,Kidney and urinary tract infections (with complications),13,13,100%,NA,93
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2015–16,2016,Kidney and urinary tract infections (with complications),5,3,NA,NA,46
Sydney Inner City 11703,Balmain Hospital,NSW,Sydney,Unpeered,2016–17,2017,Kidney and urinary tract infections (with complications),14,14,100%,NA,72
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Vaginal delivery,888,875,99%,2.60,"2,289"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Vaginal delivery,914,887,97%,2.60,"2,268"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Vaginal delivery,905,882,97%,2.50,"2,173"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Vaginal delivery,934,907,97%,2.50,"2,253"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Vaginal delivery,858,848,99%,2.40,"2,075"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Vaginal delivery,839,819,98%,2.50,"2,050"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Caesarean delivery,326,325,100%,4.10,"1,337"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Caesarean delivery,383,383,100%,4.10,"1,576"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Caesarean delivery,343,343,100%,4.10,"1,406"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Caesarean delivery,334,334,100%,4.10,"1,355"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Caesarean delivery,351,351,100%,3.90,"1,371"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Caesarean delivery,381,381,100%,3.80,"1,459"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Cellulitis,176,160,91%,3.00,475
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Cellulitis,213,195,92%,3.10,596
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Cellulitis,238,216,91%,3.70,801
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Cellulitis,342,324,95%,3.30,"1,057"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Cellulitis,366,326,89%,3.00,974
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Cellulitis,396,364,92%,2.80,"1,033"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Chronic Obstructive Pulmonary Disease (without complications),166,165,99%,4.80,784
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Chronic Obstructive Pulmonary Disease (without complications),175,170,97%,5.00,858
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Chronic Obstructive Pulmonary Disease (without complications),179,176,98%,4.80,843
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Chronic Obstructive Pulmonary Disease (without complications),189,182,96%,4.30,785
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Chronic Obstructive Pulmonary Disease (without complications),242,224,93%,3.60,801
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Chronic Obstructive Pulmonary Disease (without complications),252,234,93%,3.90,901
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Chronic Obstructive Pulmonary Disease (with complications),64,64,100%,9.40,602
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Chronic Obstructive Pulmonary Disease (with complications),70,70,100%,8.40,589
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Chronic Obstructive Pulmonary Disease (with complications),69,69,100%,8.50,585
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Chronic Obstructive Pulmonary Disease (with complications),65,64,98%,9.30,597
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Chronic Obstructive Pulmonary Disease (with complications),37,36,97%,NA,270
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Chronic Obstructive Pulmonary Disease (with complications),47,47,100%,NA,427
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Heart failure (without complications),96,95,99%,4.20,402
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Heart failure (without complications),133,131,98%,4.50,590
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Heart failure (without complications),109,106,97%,5.10,539
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Heart failure (without complications),156,144,92%,4.20,603
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Heart failure (without complications),158,147,93%,3.90,566
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Heart failure (without complications),233,220,94%,4.50,995
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Heart failure (with complications),66,66,100%,10.10,665
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Heart failure (with complications),69,69,100%,10.40,716
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Heart failure (with complications),65,65,100%,10.10,654
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Heart failure (with complications),85,85,100%,8.20,695
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Heart failure (with complications),59,59,100%,8.70,516
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Heart failure (with complications),80,80,100%,8.60,684
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Kidney and urinary tract infections (without complications),156,156,100%,3.70,579
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Kidney and urinary tract infections (without complications),159,157,99%,3.60,572
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Kidney and urinary tract infections (without complications),172,165,96%,3.60,587
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Kidney and urinary tract infections (without complications),186,173,93%,3.20,551
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Kidney and urinary tract infections (without complications),217,174,80%,2.80,487
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Kidney and urinary tract infections (without complications),235,196,83%,2.60,502
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Kidney and urinary tract infections (with complications),94,94,100%,9.70,912
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Kidney and urinary tract infections (with complications),110,110,100%,8.90,979
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Kidney and urinary tract infections (with complications),102,101,99%,7.70,781
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Kidney and urinary tract infections (with complications),136,135,99%,7.60,"1,020"
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Kidney and urinary tract infections (with complications),115,109,95%,4.90,531
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Kidney and urinary tract infections (with complications),89,87,98%,6.30,550
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Appendix removal,105,105,100%,2.50,262
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Appendix removal,98,98,100%,2.50,244
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Appendix removal,104,104,100%,2.60,267
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Appendix removal,106,106,100%,2.40,254
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Appendix removal,90,90,100%,2.40,220
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Appendix removal,90,90,100%,2.40,213
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Gallbladder removal,141,141,100%,2.00,287
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Gallbladder removal,180,180,100%,2.50,450
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Gallbladder removal,177,177,100%,2.60,458
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Gallbladder removal,187,187,100%,2.60,485
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Gallbladder removal,178,178,100%,2.60,458
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Gallbladder removal,179,179,100%,2.60,469
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Gynaecological reconstructive procedures,20,20,100%,NA,39
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Gynaecological reconstructive procedures,17,16,94%,NA,37
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Gynaecological reconstructive procedures,16,15,94%,NA,29
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Gynaecological reconstructive procedures,20,20,100%,NA,35
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Gynaecological reconstructive procedures,18,18,100%,NA,30
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Gynaecological reconstructive procedures,12,11,92%,NA,18
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Hysterectomy,59,59,100%,3.30,197
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Hysterectomy,43,43,100%,NA,139
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Hysterectomy,44,44,100%,NA,135
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Hysterectomy,48,48,100%,NA,147
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Hysterectomy,50,50,100%,2.90,146
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Hysterectomy,46,46,100%,NA,150
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Knee replacement,93,93,100%,5.40,505
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Knee replacement,89,89,100%,5.30,470
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Knee replacement,98,98,100%,5.20,508
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Knee replacement,117,117,100%,4.90,570
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Knee replacement,108,108,100%,4.50,484
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Knee replacement,116,116,100%,4.10,479
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Hip replacement,40,40,100%,NA,330
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Hip replacement,21,21,100%,NA,146
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Hip replacement,45,45,100%,NA,287
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Hip replacement,50,50,100%,5.70,287
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Hip replacement,36,36,100%,NA,182
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Hip replacement,51,51,100%,5.10,260
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2011–12,2012,Prostate removal,23,23,100%,NA,72
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2012–13,2013,Prostate removal,30,30,100%,NA,103
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2013–14,2014,Prostate removal,35,35,100%,NA,102
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2014–15,2015,Prostate removal,28,28,100%,NA,101
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2015–16,2016,Prostate removal,23,23,100%,NA,56
Sydney Inner City 11703,Canterbury Hospital,NSW,Sydney,Medium hospitals,2016–17,2017,Prostate removal,20,20,100%,NA,63
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Vaginal delivery,3,0,NA,NA,0
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Cellulitis,218,190,87%,3.30,620
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Cellulitis,200,183,92%,3.70,670
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Cellulitis,238,215,90%,3.90,841
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Cellulitis,236,225,95%,3.70,832
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Cellulitis,263,253,96%,3.60,904
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Cellulitis,352,327,93%,3.10,"1,004"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Chronic Obstructive Pulmonary Disease (without complications),196,191,97%,5.10,976
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Chronic Obstructive Pulmonary Disease (without complications),222,216,97%,5.50,"1,186"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Chronic Obstructive Pulmonary Disease (without complications),220,211,96%,4.70,989
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Chronic Obstructive Pulmonary Disease (without complications),177,165,93%,5.50,903
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Chronic Obstructive Pulmonary Disease (without complications),159,157,99%,4.90,769
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Chronic Obstructive Pulmonary Disease (without complications),189,182,96%,4.50,826
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Chronic Obstructive Pulmonary Disease (with complications),79,79,100%,9.70,765
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Chronic Obstructive Pulmonary Disease (with complications),72,72,100%,9.50,681
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Chronic Obstructive Pulmonary Disease (with complications),74,74,100%,10.10,750
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Chronic Obstructive Pulmonary Disease (with complications),69,69,100%,10.70,736
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Chronic Obstructive Pulmonary Disease (with complications),72,72,100%,9.10,656
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Chronic Obstructive Pulmonary Disease (with complications),56,56,100%,7.10,397
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Heart failure (without complications),166,164,99%,5.90,966
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Heart failure (without complications),188,183,97%,5.70,"1,037"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Heart failure (without complications),195,191,98%,6.00,"1,142"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Heart failure (without complications),162,156,96%,5.20,806
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Heart failure (without complications),177,171,97%,5.90,"1,011"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Heart failure (without complications),226,218,96%,5.60,"1,231"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Heart failure (with complications),124,124,100%,11.90,"1,471"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Heart failure (with complications),130,129,99%,10.60,"1,365"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Heart failure (with complications),130,129,99%,10.10,"1,305"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Heart failure (with complications),153,153,100%,10.30,"1,578"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Heart failure (with complications),126,126,100%,10.90,"1,379"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Heart failure (with complications),157,157,100%,10.30,"1,612"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Kidney and urinary tract infections (without complications),224,137,61%,4.40,601
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Kidney and urinary tract infections (without complications),261,178,68%,4.20,747
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Kidney and urinary tract infections (without complications),245,161,66%,4.30,695
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Kidney and urinary tract infections (without complications),202,166,82%,3.70,615
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Kidney and urinary tract infections (without complications),197,157,80%,3.70,582
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Kidney and urinary tract infections (without complications),221,174,79%,3.90,671
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Kidney and urinary tract infections (with complications),162,161,99%,8.90,"1,433"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Kidney and urinary tract infections (with complications),178,177,99%,9.60,"1,708"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Kidney and urinary tract infections (with complications),168,168,100%,8.40,"1,403"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Kidney and urinary tract infections (with complications),136,136,100%,9.20,"1,249"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Kidney and urinary tract infections (with complications),154,154,100%,7.50,"1,158"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Kidney and urinary tract infections (with complications),169,169,100%,7.30,"1,235"
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Appendix removal,77,77,100%,2.10,164
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Appendix removal,117,117,100%,2.10,244
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Appendix removal,110,110,100%,2.20,238
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Appendix removal,86,86,100%,2.40,203
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Appendix removal,41,41,100%,NA,94
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2016–17,2017,Appendix removal,88,88,100%,2.20,194
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2011–12,2012,Gallbladder removal,170,170,100%,1.60,276
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2012–13,2013,Gallbladder removal,184,178,97%,1.70,310
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2013–14,2014,Gallbladder removal,202,200,99%,2.00,393
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2014–15,2015,Gallbladder removal,167,167,100%,2.10,346
Sydney Inner City 11703,Concord Hospital,NSW,Sydney,Major hospitals,2015–16,2016,Gallbladder removal,155,154,99%,2.00,301
