RegionID,Variable,2012,2013,2014,2015
Newcastle 11103,Own unincorporated business income earners (no.),8845,9086,9293,9600
Newcastle 11103,Total own unincorporated business income ($),272959449,285222932,292771734,326129560
Newcastle 11103,Median own unincorporated business income ($),10389,10539,10814,11207
Newcastle 11103,Mean own unincorporated business income ($),30860,31391,31505,33972
Newcastle 11103,Own unincorporated business income as main source of income (%),5,5,5,6
Newcastle 11103,Investment income earners (no.),60651,61241,61409,63814
Newcastle 11103,Total investment income ($),394141005,421354294,493765451,467058360
Newcastle 11103,Median investment income ($),327,337,361,337
Newcastle 11103,Mean investment income ($),6499,6880,8041,7319
Newcastle 11103,Investment income as main source of income (%),12,12,12,13
Newcastle 11103,Superannuation and annuity income earners (no.),2585,2587,2702,2905
Newcastle 11103,Total superannuation and annuity income ($),60302581,60683268,66562236,79813623
Newcastle 11103,Median superannuation and annuity income ($),16226,15897,16850,17076
Newcastle 11103,Mean superannuation and annuity income ($),23328,23457,24634,27475
Newcastle 11103,Superannuation and annuity income as main source of income (%),1,1,1,2
Newcastle 11103,Other income earners (excl. Government pensions and allowances) (no.),10043,9396,8589,8610
Newcastle 11103,Total other income (excl. Government pensions and allowances) ($),16477512,16303957,23653280,25011232
Newcastle 11103,Median other income (excl. Government pensions and allowances) ($),73,92,84,89
Newcastle 11103,Mean other income (excl. Government pensions and allowances) ($),1641,1735,2754,2905
Newcastle 11103,Other income (excl. Government pensions and allowances) as main source of income (%),0,0,0,0
Newcastle 11103,Total income earners (excl. Government pensions and allowances) (no.),85702,86203,86876,88936
Newcastle 11103,Total income (excl. Government pensions and allowances) ($),4836901341,5077160956,5264817016,5452102240
Newcastle 11103,Median total income (excl. Government pensions and allowances) ($),45177,47294,47850,48693
Newcastle 11103,Mean total income (excl. Government pensions and allowances) ($),56439,58898,60602,61304
Blue Mountains 12401,Employee income earners (no.),36668,37078,37856,39474
Blue Mountains 12401,Total employee income ($),1982313869,2055192804,2148122567,2288257214
Blue Mountains 12401,Median employee income ($),45945,47160,48102,49182
Blue Mountains 12401,Mean employee income ($),54061,55429,56745,57969
Blue Mountains 12401,Employee income as main source of income (%),76,76,76,75
Blue Mountains 12401,Own unincorporated business income earners (no.),6741,6660,6772,7070
Blue Mountains 12401,Total own unincorporated business income ($),139345102,141035188,151729338,163174072
Blue Mountains 12401,Median own unincorporated business income ($),9649,9823,10897,10664
Blue Mountains 12401,Mean own unincorporated business income ($),20671,21176,22405,23080
Blue Mountains 12401,Own unincorporated business income as main source of income (%),8,8,8,9
Blue Mountains 12401,Investment income earners (no.),30933,31014,31586,32721
Blue Mountains 12401,Total investment income ($),160700929,167016958,179871570,184798283
Blue Mountains 12401,Median investment income ($),322,331,382,353
Blue Mountains 12401,Mean investment income ($),5195,5385,5695,5648
Blue Mountains 12401,Investment income as main source of income (%),13,13,13,13
Blue Mountains 12401,Superannuation and annuity income earners (no.),1925,1858,1766,1778
Blue Mountains 12401,Total superannuation and annuity income ($),49834597,48471658,48846368,53164953
Blue Mountains 12401,Median superannuation and annuity income ($),18365,18416,19988,20865
Blue Mountains 12401,Mean superannuation and annuity income ($),25888,26088,27659,29902
Blue Mountains 12401,Superannuation and annuity income as main source of income (%),2,2,2,2
Blue Mountains 12401,Other income earners (excl. Government pensions and allowances) (no.),5284,4983,4653,4822
Blue Mountains 12401,Total other income (excl. Government pensions and allowances) ($),11881418,11891404,12644797,15409179
Blue Mountains 12401,Median other income (excl. Government pensions and allowances) ($),109,132,128,136
Blue Mountains 12401,Mean other income (excl. Government pensions and allowances) ($),2249,2386,2718,3196
Blue Mountains 12401,Other income (excl. Government pensions and allowances) as main source of income (%),1,1,1,1
Blue Mountains 12401,Total income earners (excl. Government pensions and allowances) (no.),42522,42349,43053,44193
Blue Mountains 12401,Total income (excl. Government pensions and allowances) ($),2281535008,2343793743,2439231501,2547895100
Blue Mountains 12401,Median total income (excl. Government pensions and allowances) ($),43331,44944,45838,46589
Blue Mountains 12401,Mean total income (excl. Government pensions and allowances) ($),53655,55345,56656,57654
